                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99196,                  1.697,                 3.5734,                 1.5835,                0.07003,                    0.2,                0.08373,                0.02868,                0.00111,                    0.2,                0.00076,                0.00011,                  1.549,                 73.121,                 3.1345,                 2.4308,                 0.0982,                 0.0002,                 0.0002
                      2,                 1.2554,                 2.2762,                 2.4585,                  1.637,                0.01862,                    0.3,                0.01081,                 0.0024,                0.02027,                    0.2,                0.00554,                 0.0012,                 2.9951,                 72.537,                 43.009,                 3.9301,               0.095451,              0.0004505,              0.0004505
                      3,                 1.7578,                 2.6465,                 2.7251,                 2.2684,                 0.0078,                    0.7,                0.00646,                0.00388,                      0,                      0,                      0,                      0,                 3.1109,                 159.95,                 6331.7,                  19.38,               0.092642,              0.0006416,              0.0006416
